CATCH
species: mackerel
life stage: recruited
population: canada
region: West-Atlantic
source: 2021 stock assessment
cited by: Smith 2022
unit: t
notes: could add upper and lower bound from assessment

year	value
1968	11118
1969	13257
1970	15710
1971	14942
1972	16253
1973	21566
1974	16701
1975	13540
1976	15746
1977	19852
1978	25429
1979	30244
1980	22135
1981	19294
1982	16380
1983	19797
1984	17320
1985	29855
1986	30325
1987	27488
1988	24060
1989	20795
1990	19190
1991	24914
1992	24307
1993	26158
1994	20564
1995	17740
1996	20406
1997	21309
1998	19176
1999	16561
2000	16080
2001	24429
2002	34662
2003	44736
2004	53951
2005	54809
2006	53741
2007	53394
2008	29671
2009	42231
2010	38700
2011	11508
2012	6847
2013	8674
2014	6680
2015	4280
2016	8055
2017	9783
2018	10926
2019	8704
2020	7838
