ABUNDANCE FRACTION
species: gannet
life stage: chicks
population: anticosti
region: GSL
source: Jean-Francois Rail (pers. comm.)
cited by: NA
unit: %
notes: see mails and script gannets_allpop_chicks (breeding_success_extrapolated.csv)

year	mean	sd
1968	0.2784625	0.104596562
1969	0.2784625	0.104596562
1970	0.2784625	0.104596562
1971	0.2784625	0.104596562
1972	0.2784625	0.104596562
1973	0.2784625	0.104596562
1974	0.2784625	0.104596562
1975	0.2784625	0.104596562
1976	0.2784625	0.104596562
1977	0.2784625	0.104596562
1978	0.2784625	0.104596562
1979	0.2784625	0.104596562
1980	0.2784625	0.104596562
1981	0.2784625	0.104596562
1982	0.2784625	0.104596562
1983	0.2784625	0.104596562
1984	0.2784625	0.104596562
1985	0.2784625	0.104596562
1986	0.2784625	0.104596562
1987	0.2784625	0.104596562
1988	0.2784625	0.104596562
1989	0.2784625	0.104596562
1990	0.2784625	0.104596562
1991	0.2784625	0.104596562
1992	0.2784625	0.104596562
1993	0.2784625	0.104596562
1994	0.2784625	0.104596562
1995	0.2784625	0.104596562
1996	0.2784625	0.104596562
1997	0.2784625	0.104596562
1998	0.2784625	0.104596562
1999	0.2784625	0.104596562
2000	0.2784625	0.104596562
2001	0.2784625	0.104596562
2002	0.2784625	0.104596562
2003	0.2784625	0.104596562
2004	0.2784625	0.104596562
2005	0.2784625	0.104596562
2006	0.2784625	0.104596562
2007	0.2784625	0.104596562
2008	0.2784625	0.104596562
2009	0.2784625	0.104596562
2010	0.2784625	0.104596562
2011	0.2784625	0.104596562
2012	0.2784625	0.104596562
2013	0.2784625	0.104596562
2014	0.2784625	0.104596562
2015	0.2784625	0.104596562
2016	0.2784625	0.104596562
2017	0.2784625	0.104596562
2018	0.2784625	0.104596562
2019	0.2784625	0.104596562
2020	0.2784625	0.104596562
2021	0.2784625	0.104596562
