ABUNDANCE
species: gannet
life stage: breeders
population: anticostic
region: GSL
source: Francois Rail (pers. comm.)
cited by: NA
unit: numbers
notes: Guillemette excluded 1972-1973. numbers from francois x2 (couples). 1972-1973 replace by just 1973 in accordance with Rail 2013. Interpolated in gannets_allpop_adults_N.r 

year	mean	sd
1968	260	50
1969	262	46
1970	265	43
1971	267	39
1972	269	36
1973	270	0
1974	273	30
1975	275	28
1976	278	26
1977	280	25
1978	283	24
1979	286	23
1980	290	23
1981	294	24
1982	299	24
1983	304	25
1984	310	0
1985	317	26
1986	325	26
1987	333	26
1988	342	26
1989	351	25
1990	360	24
1991	370	24
1992	379	23
1993	389	22
1994	416	0
1995	407	20
1996	416	19
1997	423	19
1998	430	18
1999	406	0
2000	441	18
2001	444	18
2002	446	19
2003	446	19
2004	442	0
2005	441	19
2006	436	19
2007	429	19
2008	420	18
2009	400	0
2010	397	17
2011	382	16
2012	366	16
2013	408	0
2014	330	0
2015	310	18
2016	290	20
2017	269	22
2018	247	25
2019	192	0
2020	203	32
2021	181	35
