ABUNDANCE
species: gannet
life stage: breeders
population: baccalieu
region: GSL
source: Francois Rail (pers. comm.)
cited by: NA
unit: numbers
notes: Guillemette excluded 1972-1973. numbers from francois x2 (couples). 1972-1973 replace by just 1973 in accordance with Rail 2013. Interpolated in gannets_allpop_adults_N.r 

year	mean	sd
1968	1027	676
1969	1050	630
1970	1074	586
1971	1097	544
1972	1120	504
1973	1346	0
1974	1167	434
1975	1191	405
1976	1216	382
1977	1243	365
1978	1272	354
1979	1303	347
1980	1338	345
1981	1376	345
1982	1419	346
1983	1466	346
1984	1354	0
1985	1577	341
1986	1641	337
1987	1712	331
1988	1788	326
1989	1870	322
1990	1959	318
1991	2055	315
1992	2156	312
1993	2265	307
1994	2082	0
1995	2502	294
1996	2630	287
1997	2763	281
1998	2901	277
1999	3424	0
2000	3189	266
2001	3338	260
2002	3492	254
2003	3649	248
2004	4100	0
2005	3979	233
2006	4153	223
2007	4333	213
2008	4522	204
2009	4508	0
2010	4456	0
2011	4314	0
2012	5128	0
2013	6184	0
2014	6482	0
2015	6093	238
2016	6335	269
2017	6579	309
2018	6976	0
2019	7067	406
2020	7311	460
2021	7555	517
