ABUNDANCE
species: gannet
life stage: breeders
population: bird rocks
region: GSL
source: Francois Rail (pers. comm.)
cited by: NA
unit: numbers
notes: Guillemette excluded 1972-1973. numbers from francois x2 (couples). 1972-1973 replace by just 1973 in accordance with Rail 2013. Interpolated in gannets_allpop_adults_N.r 

year	mean	sd
1968	9296	7368
1969	9352	6666
1970	9408	5984
1971	9464	5331
1972	9520	4718
1973	10662	0
1974	9633	3693
1975	9701	3340
1976	9790	3116
1977	9908	3005
1978	10068	2961
1979	9684	0
1980	10548	2891
1981	10880	2853
1982	11276	2838
1983	11737	2844
1984	13180	0
1985	12865	2827
1986	13549	2798
1987	14336	2784
1988	15242	2788
1989	15280	0
1990	17477	2779
1991	18820	2759
1992	20310	2752
1993	21946	2760
1994	19736	0
1995	25639	2758
1996	27669	2744
1997	29790	2739
1998	31979	2743
1999	33768	0
2000	36456	2717
2001	38679	2681
2002	40836	2648
2003	42886	2614
2004	46922	0
2005	46503	2466
2006	48018	2345
2007	49324	2218
2008	50409	2097
2009	60020	0
2010	44994	0
2011	61162	0
2012	52732	0
2013	46186	0
2014	48418	0
2015	54694	0
2016	52252	0
2017	54524	0
2018	53516	0
2019	49936	0
2020	52468	0
2021	52342	3349
