ABUNDANCE
species: gannet
life stage: breeders
population: bonavantura
region: southern GSL
source: Francois Rail (pers. comm.)
cited by: 0
unit: numbers
notes: Guillemette excluded 1972-1973. numbers from francois x2 (couples). 1972-1973 replace by just 1973 in accordance with Rail 2013. Interpolated in gannets_allpop_adults_N.r 

year	mean	sd
1968	29519	12205
1969	30140	11074
1970	30761	9976
1971	31382	8924
1972	32004	7935
1973	34562	0
1974	33248	6268
1975	33884	5677
1976	34545	5285
1977	35245	5069
1978	35995	4965
1979	36490	0
1980	37698	4822
1981	38680	4759
1982	39768	4735
1983	40978	4743
1984	42180	0
1985	43823	4718
1986	45478	4676
1987	47292	4655
1988	49271	4659
1989	48250	0
1990	53737	4641
1991	56224	4611
1992	58875	4598
1993	61687	4607
1994	63148	0
1995	67773	4599
1996	71013	4576
1997	74343	4565
1998	77734	4567
1999	73872	0
2000	84570	4515
2001	87914	4454
2002	91121	4395
2003	94121	4332
2004	107270	0
2005	99238	4086
2006	101288	3893
2007	102997	3692
2008	104366	3498
2009	119172	0
2010	104554	0
2011	95488	0
2012	103450	0
2013	116688	0
2014	101216	0
2015	108068	0
2016	108082	0
2017	96520	0
2018	115432	0
2019	96432	0
2020	104834	0
2021	103571	5567
