ABUNDANCE FRACTION
species: gannet
life stage: chicks
population: bonavanture
region: southern GSL
source: Jean-Francois Rail (pers. comm.)
cited by: NA
unit: %
notes: see mails and script gannets_allpop_chicks (breeding_success_extrapolated.csv)

year	mean	sd
1968	0.343	0.056424993
1969	0.343	0.056424993
1970	0.343	0.056424993
1971	0.343	0.056424993
1972	0.343	0.056424993
1973	0.343	0.056424993
1974	0.343	0.056424993
1975	0.343	0.056424993
1976	0.343	0.056424993
1977	0.361415854	0.048781688
1978	0.364592085	0.04399687
1979	0.387	0.04185498
1980	0.369561559	0.041215724
1981	0.371237801	0.041309116
1982	0.372475518	0.041803901
1983	0.373362234	0.042457784
1984	0.376	0.042980174
1985	0.374426082	0.043152751
1986	0.374738221	0.043142084
1987	0.374969376	0.04314782
1988	0.375167032	0.043193305
1989	0.3595	0.043125589
1990	0.375628625	0.042828805
1991	0.37584856	0.042555083
1992	0.375946993	0.042506438
1993	0.375832436	0.042606993
1994	0.3645	0.042550258
1995	0.374575756	0.04212486
1996	0.373114758	0.041649015
1997	0.370803021	0.041403324
1998	0.367413158	0.041290556
1999	0.3695	0.040866152
2000	0.356490816	0.039757784
2001	0.348511438	0.038332988
2002	0.338560136	0.037110935
2003	0.326417398	0.036286406
2004	0.365	0.035603576
2005	0.3385	0.03462985
2006	0.275761702	0.033369565
2007	0.255812556	0.032236757
2008	0.236147116	0.031410156
2009	0.249	0.030568882
2010	0.202348966	0.029284448
2011	0.115	0.027770252
2012	0.034	0.026424612
2013	0.183	0.02548118
2014	0.213	0.02477687
2015	0.1745	0.024193511
2016	0.214	0.023961935
2017	0.2165	0.024312646
2018	0.304	0.025455317
2019	0.063	0.028227685
2020	0.234	0.033762227
2021	0.2605	0.042037214
