ABUNDANCE FRACTION
species: gannet
life stage: chicks
population: st mary's
region: GSL
source: Jean-Francois Rail (pers. comm.)
cited by: NA
unit: %
notes: see mails and script gannets_allpop_chicks (breeding_success_extrapolated.csv)

year	mean	sd
1968	0.388785714	0.060660158
1969	0.388785714	0.060660158
1970	0.388785714	0.060660158
1971	0.388785714	0.060660158
1972	0.388785714	0.060660158
1973	0.388785714	0.060660158
1974	0.388785714	0.060660158
1975	0.388785714	0.060660158
1976	0.388785714	0.060660158
1977	0.441	0.04275
1978	0.388785714	0.060660158
1979	0.388785714	0.060660158
1980	0.388785714	0.060660158
1981	0.388785714	0.060660158
1982	0.388785714	0.060660158
1983	0.4695	0.02175
1984	0.355	0.0225
1985	0.287	0.0245
1986	0.36	0.03225
1987	0.388785714	0.060660158
1988	0.388785714	0.060660158
1989	0.388785714	0.060660158
1990	0.388785714	0.060660158
1991	0.388785714	0.060660158
1992	0.388785714	0.060660158
1993	0.388785714	0.060660158
1994	0.388785714	0.060660158
1995	0.388785714	0.060660158
1996	0.388785714	0.060660158
1997	0.388785714	0.060660158
1998	0.388785714	0.060660158
1999	0.388785714	0.060660158
2000	0.388785714	0.060660158
2001	0.388785714	0.060660158
2002	0.388785714	0.060660158
2003	0.388785714	0.060660158
2004	0.388785714	0.060660158
2005	0.388785714	0.060660158
2006	0.388785714	0.060660158
2007	0.388785714	0.060660158
2008	0.388785714	0.060660158
2009	0.402	0.018
2010	0.407	0.029
2011	0.3445	0.01975
2012	0.207	0.02125
2013	0.2985	0.02075
2014	0.238	0.021
2015	0.2415	0.022
2016	0.247	0.021
2017	0.1945	0.01925
2018	0.2455	0.0195
2019	0.314	0.019
2020	0.293	0.02025
2021	0.3615	0.021106902
