ABUNDANCE
species: gannet
life stage: breeders
population: st Mary's
region: GSL
source: Francois Rail (pers. comm.)
cited by: NA
unit: numbers
notes: Guillemette excluded 1972-1973. numbers from francois x2 (couples). 1972-1973 replace by just 1973 in accordance with Rail 2013. Interpolated in gannets_allpop_adults_N.r 

year	mean	sd
1968	9936	3559
1969	9960	3272
1970	9983	2994
1971	10006	2730
1972	10030	2484
1973	10520	0
1974	10077	2068
1975	10106	1916
1976	10143	1811
1977	10195	1754
1978	10264	1742
1979	10356	1762
1980	10474	1802
1981	10625	1847
1982	10811	1884
1983	11038	1904
1984	11030	0
1985	11631	1876
1986	12004	1836
1987	12429	1792
1988	12910	1755
1989	13447	1727
1990	14043	1711
1991	14700	1700
1992	15419	1686
1993	16201	1660
1994	14358	0
1995	17962	1558
1996	18917	1506
1997	19892	1474
1998	20861	1460
1999	24312	0
2000	22693	1423
2001	23531	1396
2002	24316	1377
2003	25048	1365
2004	24864	0
2005	26351	1293
2006	26914	1232
2007	27407	1174
2008	27822	1117
2009	29578	0
2010	31312	0
2011	29392	0
2012	25940	0
2013	27030	0
2014	28804	1167
2015	28887	1294
2016	28972	1470
2017	29057	1708
2018	29196	0
2019	29230	2334
2020	29317	2689
2021	29403	3059
