ABUNDANCE
species: gannet
life stage: breeders
population: Funk Island
region: Newfoundland
source: Francois Rail (pers. comm.)
cited by: NA
unit: numbers
notes: Guillemette excluded 1972-1973. numbers from francois x2 (couples). 1972-1973 replace by just 1973 in accordance with Rail 2013. Interpolated in gannets_allpop_adults_N.r 

year	mean	sd
1968	5509	1015
1969	6028	913
1970	6547	815
1971	7066	723
1972	7585	638
1973	8102	0
1974	8623	508
1975	9133	474
1976	9628	463
1977	10101	473
1978	10543	498
1979	10947	527
1980	11306	555
1981	11612	575
1982	11857	584
1983	12034	580
1984	12150	0
1985	12160	542
1986	12135	525
1987	12097	525
1988	12078	545
1989	12113	579
1990	12236	615
1991	12483	640
1992	12887	644
1993	13483	618
1994	14246	0
1995	15359	491
1996	16545	458
1997	17732	485
1998	18791	535
1999	19674	0
2000	20045	527
2001	20220	495
2002	20226	503
2003	20171	538
2004	20094	0
2005	20277	545
2006	20424	575
2007	20481	631
2008	20324	624
2009	19974	0
2010	19328	0
2011	18086	0
2012	18406	0
2013	20312	0
2014	20396	0
2015	21130	600
2016	21523	567
2017	21770	489
2018	21928	0
2019	22103	801
2020	22263	1106
2021	22424	1434
