WEIGHT
species:  tuna
life stage:  all
population:  GSL
region:  Canada
source:  ICCAT MSE
cited by:  NA
unit:  NA
notes:  NA

year	mean	sd
1965	222.551096527684	21.2421680690688
1966	224.693512304215	21.8924693518218
1967	225.53215234468	25.0231205675299
1968	227.1677405375	23.6074866097091
1969	226.78290686957	23.0469711794412
1970	225.838251449933	25.1562377712764
1971	226.560569631315	26.3467537332473
1972	225.857126762867	26.5841270175828
1973	225.795119736904	25.837534806946
1974	230.531229791216	25.1071185732283
1975	230.066384020876	23.531942904462
1976	227.216070891287	23.5056832415548
1977	226.518788801659	26.25019728833
1978	226.451783576184	29.0696710261056
1979	227.758608799986	28.9290673924208
1980	226.032630120861	28.0269841999849
1981	224.175159230177	29.5631582459277
1982	221.81327815564	30.0584620242833
1983	217.788111329585	30.3942030636113
1984	214.878142774927	30.4731479960248
1985	210.677769033117	34.2821166144805
1986	206.907261400393	35.4208983280398
1987	199.998584187948	39.7419436349472
1988	191.144082494072	39.37436245547
1989	186.597684061668	40.2949733324767
1990	183.329882917005	41.5112295527912
1991	177.680091297099	40.9245501555021
1992	173.781545567659	41.681818752053
1993	166.555273966818	39.0081342226378
1994	164.037763746989	39.2596586408594
1995	159.791987402325	34.3701439407094
1996	156.767101749459	31.7763150261336
1997	154.925645033175	32.0235593017225
1998	153.319338601493	32.902868796426
1999	152.004164252078	32.2498098976042
2000	152.108579816864	32.0971510458525
2001	148.675001315398	35.47053260813
2002	148.434145203619	36.8701291348217
2003	148.958666576204	39.3455725303869
2004	146.700541679154	39.8571393845023
2005	146.905476403709	32.9503091856255
2006	146.997433828399	30.6158577139958
2007	146.191865110942	32.9371742737197
2008	147.098609137706	35.1008343518946
2009	147.377938520617	34.1266218535939
2010	145.654782904709	28.2409902280134
2011	143.322000154179	27.2075852345216
2012	146.102409894308	27.7891594073966
2013	154.618723341623	27.7756643379735
2014	158.903683749229	28.2284928103965
2015	164.233944985662	22.7984284477434
2016	167.886700402196	22.9610184682384
2017	176.058992464728	24.9437586302285
2018	181.996619262107	26.0025330127544
2019	185.895621596953	26.6797458236917
