"year" "low" "med" "high"
1968 7196.76779403098 17102.3847859622 59224.2081511904
1969 7455.68178193363 17398.8632675604 58602.6199607667
1970 7065.23126963308 16819.8863961812 51557.2566937686
1971 7264.56909160877 17234.0898644997 56710.5414170899
1972 7074.4625532481 16405.3143675287 61046.5572289366
1973 6778.94192997466 12606.9505118411 32502.5173114365
1974 12160.2272687208 26937.0224602535 62994.3776574786
1975 5726.36947732243 11050.2700139498 28451.3038142967
1976 5938.98110761304 10603.0727326765 26641.7394422457
1977 6212.43112506333 10440.0471226615 23170.6438174765
1978 5917.97740641647 10211.9469699985 20552.6287445502
1979 6171.29507142963 9799.82851481656 20612.2125609445
1980 6070.30441658 9770.94004668917 20943.2119038579
1981 8472.60005915838 14769.7209638438 32039.6382003531
1982 7378.50307196287 11328.7915857764 21255.0052734054
1983 8288.48538881852 13157.6113666266 24832.5838008779
1984 17461.7459372575 45711.3266267813 131972.62866408
1985 15549.9816695662 34310.4084944525 92883.1059314102
1986 18687.3872144687 52533.3577664979 177635.753664265
1987 44704.2388549556 162683.432305225 551457.953667412
1988 11660.5916757253 19850.0872764076 47912.4051454234
1989 16016.3638552159 39947.5701606013 130371.141917241
1990 16590.3669838504 36836.4979996254 125702.439516894
1991 15511.3162984913 30056.1790948154 67404.1753210874
1992 17978.8245602685 36151.3076013576 80947.5405907424
1993 12426.4801905698 18024.8252350471 29543.7688115718
1994 13762.7753252375 20983.6747664752 39622.7150725016
1995 15966.8777971937 24876.7713237425 49258.2727836489
1996 26449.3841580939 66746.8009367328 235678.935064174
1997 16576.9563488797 23790.6991542471 38249.4859192475
1998 17971.9192167827 25554.5224119678 45311.3854227064
1999 24858.2248721886 53106.348393343 153311.302387637
2000 29046.4705642216 61947.1255328527 192763.299603932
2001 18307.3134031148 23921.2042833257 32458.2508058926
2002 24399.301748336 39218.0125877122 74837.2842366785
2003 20654.6491622277 29914.4480453663 52205.9963106722
2004 22770.1444944477 33519.541952158 56111.9222541828
2005 27994.2742711722 46688.737238824 120109.72557287
2006 59221.7263062985 164216.357063168 557357.154126715
2007 22417.2483207585 29831.9553942955 42472.1867444052
2008 19282.9193835969 24986.9983069733 34520.507579164
2009 22113.4924500761 29322.584807053 40300.6387962945
2010 20166.4153892238 26402.9601768011 35930.4655253621
2011 21791.6086884798 28549.51619864 41791.6809378329
2012 25071.2781269073 37132.1395981987 77167.6104176744
2013 21024.2003321965 27826.4227472222 39237.0601254604
2014 21649.7475754827 27958.4186541802 39271.3042919065
2015 26937.6003263746 39987.6239638573 78884.7459608572
2016 23232.8380796908 30015.9245185584 41409.8421841838
2017 22237.5315426649 29033.6022314332 42192.6617526429
2018 24052.2772720275 31343.3416303622 45944.9695882116
2019 22328.4661123439 29289.3872997038 43877.2033937337
2020 26449.5581527457 38185.1726252489 80733.0778019863
2021 29207.9518842073 43808.7338467032 88911.3558914853
